symbol,name,sector,subSector,headQuarter,dateFirstAdded,cik,founded,market_cap,date,stock_price,fmp_dcf_calc,margin_of_safety,% weight
MMM,3M,Industrials,Industrial Conglomerates,"Saint Paul, Minnesota",1976-08-09,0000066740,1902,84266262528,2022-05-04,148.08,155.8777105757731,0.05265876942040178,0.0021544226312021713
AOS,A. O. Smith,Industrials,Building Products,"Milwaukee, Wisconsin",2017-07-26,0000091142,1916,9280059392,2022-05-04,59.1,61.826255196674126,0.04612952955455371,0.00023726185751245027
ABT,Abbott,Health Care,Health Care Equipment,"North Chicago, Illinois",1964-03-31,0000001800,1888,198268059648,2022-05-04,112.43,117.916562150056,0.048799805657351134,0.005069089122212567
ABBV,AbbVie,Health Care,Pharmaceuticals,"North Chicago, Illinois",2012-12-31,0001551152,2013,264235483136,2022-05-04,149.6,155.12139753739405,0.03690773754942548,0.006755668137597528
ABMD,Abiomed,Health Care,Health Care Equipment,"Danvers, Massachusetts",2018-05-31,0000815094,1981,13019949056,2022-05-04,285.87,288.7779563865657,0.01017230344760091,0.00033287904389998473
ACN,Accenture,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",2011-07-06,0001467373,1989,193228144640,2022-05-04,304.82,317.4660127802329,0.04148682100988427,0.004940234386914882
ATVI,Activision Blizzard,Communication Services,Interactive Home Entertainment,"Santa Monica, California",2015-08-31,0000718877,2008,61391757312,2022-05-04,78.78,92.17717223650385,0.17005803803635247,0.001569593658889233
ADM,ADM,Consumer Staples,Agricultural Products,"Chicago, Illinois",1981-07-29,0000007084,1902,50508668928,2022-05-04,89.76,91.43495559502664,0.01866037873247138,0.0012913474045941386
ADBE,Adobe,Information Technology,Application Software,"San Jose, California",1997-05-05,0000796343,1982,192581550080,2022-05-04,407.58,415.571683991684,0.0196076451044801,0.004923703002805929
ADP,ADP,Information Technology,Data Processing & Outsourced Services,"Roseland, New Jersey",1981-03-31,0000008670,1949,92648022016,2022-05-04,221.54,227.55541695865452,0.027152735211043274,0.0023687177926167468
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",2015-07-09,0001158449,1932,12213332992,2022-05-04,199.92,208.63596887091865,0.04359728326790045,0.0003122564145007588
AES,AES,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",1998-10-02,0000874761,1981,13828423680,2022-05-04,20.72,22.131676646706588,0.06813111229278904,0.00035354919081814784
AFL,Aflac,Financials,Life & Health Insurance,"Columbus, Georgia",1999-05-28,0000004977,1955,37378613248,2022-05-04,57.92,64.9725780796211,0.12176412430285047,0.0009556532814978736
A,Agilent Technologies,Health Care,Health Care Equipment,"Santa Clara, California",2000-06-05,0001090872,1999,36733829120,2022-05-04,122.4,127.23387622149838,0.039492452790019374,0.0009391681844266516
